customerID,gender,GenderBinary,SeniorCitizen,Partner,PartnerBinary,Dependents,DependentBinary,tenure Month,PhoneService,PhoneServiceBinary,MultipleLines,MultipleLinesBinary,InternetService,InternetServiceBinary,OnlineSecurity,OnlineSecurity,OnlineBackup,OnlineBackupBinary,DeviceProtection,DeviceProtetionBinary,TechSupport,TechSupportBinary,StreamingTV,StreamingTVBinary,StreamingMovies,StreamingMoviesBinary,Contract,ContractBinary,PaperlessBilling,PaperlessBillingBinary,PaymentMethod,PMElectronicCheck,PMMailedCheck,PMCreditCardAuto,MonthlyCharges,TotalCharges,Churn,ChurnBinary
9763-GRSKD,Male,1,0,Yes,1,Yes,1,13,Yes,1,No,1,DSL,1,Yes,2,No,1,No,1,No,1,No,1,No,1,Month-to-month,0,Yes,1,Mailed check,0,1,0,49.95,587.45,No,0
7469-LKBCI,Male,1,0,No,0,No,0,16,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,Two year,2,No,0,Credit card (automatic),0,0,1,18.95,326.80,No,0
8091-TTVAX,Male,1,0,Yes,1,No,0,58,Yes,1,Yes,2,Fiber optic,2,No,1,No,1,Yes,2,No,1,Yes,2,Yes,2,One year,1,No,0,Credit card (automatic),0,0,1,100.35,5681.10,No,0
0280-XJGEX,Male,1,0,No,0,No,0,49,Yes,1,Yes,2,Fiber optic,2,No,1,Yes,2,Yes,2,No,1,Yes,2,Yes,2,Month-to-month,0,Yes,1,Bank transfer (automatic),0,0,0,103.7,5036.30,Yes,1
5129-JLPIS,Male,1,0,No,0,No,0,25,Yes,1,No,1,Fiber optic,2,Yes,2,No,1,Yes,2,Yes,2,Yes,2,Yes,2,Month-to-month,0,Yes,1,Electronic check,1,0,0,105.5,2686.05,No,0
3655-SNQYZ,Female,0,0,Yes,1,Yes,1,69,Yes,1,Yes,2,Fiber optic,2,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Two year,2,No,0,Credit card (automatic),0,0,1,113.25,7895.15,No,0
8191-XWSZG,Female,0,0,No,0,No,0,52,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,One year,1,No,0,Mailed check,0,1,0,20.65,1022.95,No,0
9959-WOFKT,Male,1,0,No,0,Yes,1,71,Yes,1,Yes,2,Fiber optic,2,Yes,2,No,1,Yes,2,No,1,Yes,2,Yes,2,Two year,2,No,0,Bank transfer (automatic),0,0,0,106.7,7382.25,No,0
4190-MFLUW,Female,0,0,Yes,1,Yes,1,10,Yes,1,No,1,DSL,1,No,1,No,1,Yes,2,Yes,2,No,1,No,1,Month-to-month,0,No,0,Credit card (automatic),0,0,1,55.2,528.35,Yes,1
4183-MYFRB,Female,0,0,No,0,No,0,21,Yes,1,No,1,Fiber optic,2,No,1,Yes,2,Yes,2,No,1,No,1,Yes,2,Month-to-month,0,Yes,1,Electronic check,1,0,0,90.05,1862.90,No,0
8779-QRDMV,Male,1,1,No,0,No,0,1,No,0,No phone service,0,DSL,1,No,1,No,1,Yes,2,No,1,No,1,Yes,2,Month-to-month,0,Yes,1,Electronic check,1,0,0,39.65,39.65,Yes,1
1680-VDCWW,Male,1,0,Yes,1,No,0,12,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,One year,1,No,0,Bank transfer (automatic),0,0,0,19.8,202.25,No,0
1066-JKSGK,Male,1,0,No,0,No,0,1,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,Month-to-month,0,No,0,Mailed check,0,1,0,20.15,20.15,Yes,1
3638-WEABW,Female,0,0,Yes,1,No,0,58,Yes,1,Yes,2,DSL,1,No,1,Yes,2,No,1,Yes,2,No,1,No,1,Two year,2,Yes,1,Credit card (automatic),0,0,1,59.9,3505.10,No,0
6322-HRPFA,Male,1,0,Yes,1,Yes,1,49,Yes,1,No,1,DSL,1,Yes,2,Yes,2,No,1,Yes,2,No,1,No,1,Month-to-month,0,No,0,Credit card (automatic),0,0,1,59.6,2970.30,No,0
6865-JZNKO,Female,0,0,No,0,No,0,30,Yes,1,No,1,DSL,1,Yes,2,Yes,2,No,1,No,1,No,1,No,1,Month-to-month,0,Yes,1,Bank transfer (automatic),0,0,0,55.3,1530.60,No,0
6467-CHFZW,Male,1,0,Yes,1,Yes,1,47,Yes,1,Yes,2,Fiber optic,2,No,1,Yes,2,No,1,No,1,Yes,2,Yes,2,Month-to-month,0,Yes,1,Electronic check,1,0,0,99.35,4749.15,Yes,1
8665-UTDHZ,Male,1,0,Yes,1,Yes,1,1,No,0,No phone service,0,DSL,1,No,1,Yes,2,No,1,No,1,No,1,No,1,Month-to-month,0,No,0,Electronic check,1,0,0,30.2,30.20,Yes,1
5248-YGIJN,Male,1,0,Yes,1,No,0,72,Yes,1,Yes,2,DSL,1,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Two year,2,Yes,1,Credit card (automatic),0,0,1,90.25,6369.45,No,0
8773-HHUOZ,Female,0,0,No,0,Yes,1,17,Yes,1,No,1,DSL,1,No,1,No,1,No,1,No,1,Yes,2,Yes,2,Month-to-month,0,Yes,1,Mailed check,0,1,0,64.7,1093.10,Yes,1
3841-NFECX,Female,0,1,Yes,1,No,0,71,Yes,1,Yes,2,Fiber optic,2,Yes,2,Yes,2,Yes,2,Yes,2,No,1,No,1,Two year,2,Yes,1,Credit card (automatic),0,0,1,96.35,6766.95,No,0
4929-XIHVW,Male,1,1,Yes,1,No,0,2,Yes,1,No,1,Fiber optic,2,No,1,No,1,Yes,2,No,1,Yes,2,Yes,2,Month-to-month,0,Yes,1,Credit card (automatic),0,0,1,95.5,181.65,No,0
6827-IEAUQ,Female,0,0,Yes,1,Yes,1,27,Yes,1,No,1,DSL,1,Yes,2,Yes,2,Yes,2,Yes,2,No,1,No,1,One year,1,No,0,Mailed check,0,1,0,66.15,1874.45,No,0
7310-EGVHZ,Male,1,0,No,0,No,0,1,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,Month-to-month,0,No,0,Bank transfer (automatic),0,0,0,20.2,20.20,No,0
3413-BMNZE,Male,1,1,No,0,No,0,1,Yes,1,No,1,DSL,1,No,1,No,1,No,1,No,1,No,1,No,1,Month-to-month,0,No,0,Bank transfer (automatic),0,0,0,45.25,45.25,No,0
6234-RAAPL,Female,0,0,Yes,1,Yes,1,72,Yes,1,Yes,2,Fiber optic,2,Yes,2,Yes,2,No,1,Yes,2,Yes,2,No,1,Two year,2,No,0,Bank transfer (automatic),0,0,0,99.9,7251.70,No,0
6047-YHPVI,Male,1,0,No,0,No,0,5,Yes,1,No,1,Fiber optic,2,No,1,No,1,No,1,No,1,No,1,No,1,Month-to-month,0,Yes,1,Electronic check,1,0,0,69.7,316.90,Yes,1
6572-ADKRS,Female,0,0,No,0,No,0,46,Yes,1,No,1,Fiber optic,2,No,1,No,1,Yes,2,No,1,No,1,No,1,Month-to-month,0,Yes,1,Credit card (automatic),0,0,1,74.8,3548.30,No,0
5380-WJKOV,Male,1,0,No,0,No,0,34,Yes,1,Yes,2,Fiber optic,2,No,1,Yes,2,Yes,2,No,1,Yes,2,Yes,2,Month-to-month,0,Yes,1,Electronic check,1,0,0,106.35,3549.25,Yes,1
8168-UQWWF,Female,0,0,No,0,No,0,11,Yes,1,Yes,2,Fiber optic,2,No,1,No,1,Yes,2,No,1,Yes,2,Yes,2,Month-to-month,0,Yes,1,Bank transfer (automatic),0,0,0,97.85,1105.40,Yes,1
8865-TNMNX,Male,1,0,Yes,1,Yes,1,10,Yes,1,No,1,DSL,1,No,1,Yes,2,No,1,No,1,No,1,No,1,One year,1,No,0,Mailed check,0,1,0,49.55,475.70,No,0
9489-DEDVP,Female,0,0,Yes,1,Yes,1,70,Yes,1,Yes,2,DSL,1,Yes,2,Yes,2,No,1,No,1,Yes,2,No,1,Two year,2,Yes,1,Credit card (automatic),0,0,1,69.2,4872.35,No,0
9867-JCZSP,Female,0,0,Yes,1,Yes,1,17,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,One year,1,No,0,Mailed check,0,1,0,20.75,418.25,No,0
4671-VJLCL,Female,0,0,No,0,No,0,63,Yes,1,Yes,2,DSL,1,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,No,1,Two year,2,Yes,1,Credit card (automatic),0,0,1,79.85,4861.45,No,0
4080-IIARD,Female,0,0,Yes,1,No,0,13,Yes,1,Yes,2,DSL,1,Yes,2,Yes,2,No,1,Yes,2,Yes,2,No,1,Month-to-month,0,Yes,1,Electronic check,1,0,0,76.2,981.45,No,0
3714-NTNFO,Female,0,0,No,0,No,0,49,Yes,1,Yes,2,Fiber optic,2,No,1,No,1,No,1,No,1,No,1,Yes,2,Month-to-month,0,Yes,1,Electronic check,1,0,0,84.5,3906.70,No,0
5948-UJZLF,Male,1,0,No,0,No,0,2,Yes,1,No,1,DSL,1,No,1,Yes,2,No,1,No,1,No,1,No,1,Month-to-month,0,No,0,Mailed check,0,1,0,49.25,97.00,No,0
7760-OYPDY,Female,0,0,No,0,No,0,2,Yes,1,No,1,Fiber optic,2,No,1,No,1,No,1,No,1,Yes,2,No,1,Month-to-month,0,Yes,1,Electronic check,1,0,0,80.65,144.15,Yes,1
7639-LIAYI,Male,1,0,No,0,No,0,52,Yes,1,Yes,2,DSL,1,Yes,2,No,1,No,1,Yes,2,Yes,2,Yes,2,Two year,2,Yes,1,Credit card (automatic),0,0,1,79.75,4217.80,No,0
2954-PIBKO,Female,0,0,Yes,1,Yes,1,69,Yes,1,Yes,2,DSL,1,Yes,2,No,1,Yes,2,Yes,2,No,1,No,1,Two year,2,Yes,1,Credit card (automatic),0,0,1,64.15,4254.10,No,0
8012-SOUDQ,Female,0,1,No,0,No,0,43,Yes,1,Yes,2,Fiber optic,2,No,1,Yes,2,No,1,No,1,Yes,2,No,1,Month-to-month,0,Yes,1,Electronic check,1,0,0,90.25,3838.75,No,0
9420-LOJKX,Female,0,0,No,0,No,0,15,Yes,1,No,1,Fiber optic,2,Yes,2,Yes,2,No,1,No,1,Yes,2,Yes,2,Month-to-month,0,Yes,1,Credit card (automatic),0,0,1,99.1,1426.40,Yes,1
6575-SUVOI,Female,0,1,Yes,1,No,0,25,Yes,1,Yes,2,DSL,1,Yes,2,No,1,No,1,Yes,2,Yes,2,No,1,Month-to-month,0,Yes,1,Credit card (automatic),0,0,1,69.5,1752.65,No,0
7495-OOKFY,Female,0,1,Yes,1,No,0,8,Yes,1,Yes,2,Fiber optic,2,No,1,Yes,2,No,1,No,1,No,1,No,1,Month-to-month,0,Yes,1,Credit card (automatic),0,0,1,80.65,633.30,Yes,1
4667-QONEA,Female,0,1,Yes,1,Yes,1,60,Yes,1,No,1,DSL,1,Yes,2,Yes,2,Yes,2,Yes,2,No,1,Yes,2,One year,1,Yes,1,Credit card (automatic),0,0,1,74.85,4456.35,No,0
1658-BYGOY,Male,1,1,No,0,No,0,18,Yes,1,Yes,2,Fiber optic,2,No,1,No,1,No,1,No,1,Yes,2,Yes,2,Month-to-month,0,Yes,1,Electronic check,1,0,0,95.45,1752.55,Yes,1
8769-KKTPH,Female,0,0,Yes,1,Yes,1,63,Yes,1,Yes,2,Fiber optic,2,Yes,2,No,1,No,1,No,1,Yes,2,Yes,2,One year,1,Yes,1,Credit card (automatic),0,0,1,99.65,6311.20,No,0
5067-XJQFU,Male,1,1,Yes,1,Yes,1,66,Yes,1,Yes,2,Fiber optic,2,No,1,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,One year,1,Yes,1,Electronic check,1,0,0,108.45,7076.35,No,0
3957-SQXML,Female,0,0,Yes,1,Yes,1,34,Yes,1,Yes,2,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,Two year,2,No,0,Credit card (automatic),0,0,1,24.95,894.30,No,0
5954-BDFSG,Female,0,0,No,0,No,0,72,Yes,1,Yes,2,Fiber optic,2,No,1,No,1,Yes,2,Yes,2,Yes,2,Yes,2,Two year,2,Yes,1,Credit card (automatic),0,0,1,107.5,7853.70,No,0
0434-CSFON,Female,0,0,Yes,1,No,0,47,Yes,1,Yes,2,Fiber optic,2,No,1,No,1,Yes,2,No,1,Yes,2,Yes,2,Month-to-month,0,Yes,1,Electronic check,1,0,0,100.5,4707.10,No,0
1215-FIGMP,Male,1,0,No,0,No,0,60,Yes,1,Yes,2,Fiber optic,2,No,1,Yes,2,No,1,No,1,Yes,2,No,1,Month-to-month,0,Yes,1,Bank transfer (automatic),0,0,0,89.9,5450.70,No,0
0526-SXDJP,Male,1,0,Yes,1,No,0,72,No,0,No phone service,0,DSL,1,Yes,2,Yes,2,Yes,2,No,1,No,1,No,1,Two year,2,No,0,Bank transfer (automatic),0,0,0,42.1,2962.00,No,0
0557-ASKVU,Female,0,0,Yes,1,Yes,1,18,Yes,1,No,1,DSL,1,No,1,No,1,Yes,2,Yes,2,No,1,No,1,One year,1,Yes,1,Credit card (automatic),0,0,1,54.4,957.10,No,0
5698-BQJOH,Female,0,0,No,0,No,0,9,Yes,1,Yes,2,Fiber optic,2,No,1,No,1,No,1,No,1,Yes,2,Yes,2,Month-to-month,0,No,0,Electronic check,1,0,0,94.4,857.25,Yes,1
5122-CYFXA,Female,0,0,No,0,No,0,3,Yes,1,No,1,DSL,1,No,1,Yes,2,No,1,Yes,2,Yes,2,Yes,2,Month-to-month,0,Yes,1,Electronic check,1,0,0,75.3,244.10,No,0
8627-ZYGSZ,Male,1,0,Yes,1,No,0,47,Yes,1,Yes,2,Fiber optic,2,No,1,Yes,2,No,1,No,1,No,1,No,1,One year,1,Yes,1,Electronic check,1,0,0,78.9,3650.35,No,0
3410-YOQBQ,Female,0,0,No,0,No,0,31,Yes,1,No,1,DSL,1,No,1,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Two year,2,No,0,Mailed check,0,1,0,79.2,2497.20,No,0
3170-NMYVV,Female,0,0,Yes,1,Yes,1,50,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,Two year,2,No,0,Bank transfer (automatic),0,0,0,20.15,930.90,No,0
7410-OIEDU,Male,1,0,No,0,No,0,10,Yes,1,No,1,Fiber optic,2,Yes,2,No,1,Yes,2,No,1,No,1,No,1,Month-to-month,0,Yes,1,Mailed check,0,1,0,79.85,887.35,No,0
2273-QCKXA,Male,1,0,No,0,No,0,1,Yes,1,No,1,DSL,1,No,1,No,1,No,1,Yes,2,No,1,No,1,Month-to-month,0,No,0,Mailed check,0,1,0,49.05,49.05,No,0
0731-EBJQB,Female,0,0,Yes,1,Yes,1,52,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,One year,1,Yes,1,Electronic check,1,0,0,20.4,1090.65,No,0
1891-QRQSA,Male,1,1,Yes,1,Yes,1,64,Yes,1,Yes,2,Fiber optic,2,Yes,2,No,1,Yes,2,Yes,2,Yes,2,Yes,2,Two year,2,Yes,1,Bank transfer (automatic),0,0,0,111.6,7099.00,No,0
8028-PNXHQ,Male,1,0,Yes,1,Yes,1,62,Yes,1,Yes,2,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,Two year,2,Yes,1,Bank transfer (automatic),0,0,0,24.25,1424.60,No,0
5630-AHZIL,Female,0,0,No,0,Yes,1,3,Yes,1,No,1,DSL,1,Yes,2,No,1,No,1,Yes,2,No,1,Yes,2,Month-to-month,0,Yes,1,Bank transfer (automatic),0,0,0,64.5,177.40,No,0
2673-CXQEU,Female,0,1,No,0,No,0,56,Yes,1,Yes,2,Fiber optic,2,Yes,2,Yes,2,Yes,2,No,1,Yes,2,Yes,2,One year,1,No,0,Electronic check,1,0,0,110.5,6139.50,No,0
6416-JNVRK,Female,0,0,No,0,No,0,46,Yes,1,No,1,DSL,1,No,1,No,1,No,1,No,1,No,1,Yes,2,One year,1,No,0,Credit card (automatic),0,0,1,55.65,2688.85,No,0
5590-ZSKRV,Female,0,0,Yes,1,Yes,1,8,Yes,1,No,1,DSL,1,Yes,2,Yes,2,No,1,No,1,No,1,No,1,Month-to-month,0,No,0,Mailed check,0,1,0,54.65,482.25,No,0
0191-ZHSKZ,Male,1,1,No,0,No,0,30,Yes,1,No,1,DSL,1,Yes,2,Yes,2,No,1,No,1,Yes,2,Yes,2,Month-to-month,0,Yes,1,Electronic check,1,0,0,74.75,2111.30,No,0
3887-PBQAO,Female,0,0,Yes,1,Yes,1,45,Yes,1,Yes,2,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,One year,1,Yes,1,Credit card (automatic),0,0,1,25.9,1216.60,No,0
5919-TMRGD,Female,0,0,No,0,Yes,1,1,Yes,1,No,1,Fiber optic,2,No,1,No,1,No,1,No,1,Yes,2,No,1,Month-to-month,0,Yes,1,Electronic check,1,0,0,79.35,79.35,Yes,1
8108-UXRQN,Female,0,0,Yes,1,Yes,1,11,No,0,No phone service,0,DSL,1,Yes,2,No,1,No,1,No,1,Yes,2,Yes,2,Month-to-month,0,No,0,Electronic check,1,0,0,50.55,565.35,No,0
9191-MYQKX,Female,0,0,Yes,1,No,0,7,Yes,1,No,1,Fiber optic,2,No,1,No,1,Yes,2,No,1,No,1,No,1,Month-to-month,0,Yes,1,Bank transfer (automatic),0,0,0,75.15,496.90,Yes,1
9919-YLNNG,Female,0,0,No,0,No,0,42,Yes,1,No,1,Fiber optic,2,No,1,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Month-to-month,0,Yes,1,Bank transfer (automatic),0,0,0,103.8,4327.50,No,0
0318-ZOPWS,Female,0,0,Yes,1,No,0,49,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,Two year,2,Yes,1,Bank transfer (automatic),0,0,0,20.15,973.35,No,0
4445-ZJNMU,Male,1,0,No,0,No,0,9,Yes,1,Yes,2,Fiber optic,2,No,1,Yes,2,No,1,No,1,Yes,2,Yes,2,Month-to-month,0,Yes,1,Credit card (automatic),0,0,1,99.3,918.75,No,0
4808-YNLEU,Female,0,0,Yes,1,No,0,35,Yes,1,No,1,DSL,1,Yes,2,No,1,No,1,No,1,Yes,2,No,1,One year,1,Yes,1,Bank transfer (automatic),0,0,0,62.15,2215.45,No,0
1862-QRWPE,Female,0,0,Yes,1,Yes,1,48,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,Two year,2,No,0,Bank transfer (automatic),0,0,0,20.65,1057.00,No,0
2796-NNUFI,Female,0,0,Yes,1,Yes,1,46,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,Two year,2,Yes,1,Mailed check,0,1,0,19.95,927.10,No,0
3016-KSVCP,Male,1,0,Yes,1,No,0,29,No,0,No phone service,0,DSL,1,No,1,No,1,No,1,No,1,Yes,2,No,1,Month-to-month,0,No,0,Mailed check,0,1,0,33.75,1009.25,No,0
4767-HZZHQ,Male,1,0,Yes,1,Yes,1,30,Yes,1,No,1,Fiber optic,2,No,1,Yes,2,Yes,2,No,1,No,1,No,1,Month-to-month,0,No,0,Bank transfer (automatic),0,0,0,82.05,2570.20,No,0
2424-WVHPL,Male,1,1,No,0,No,0,1,Yes,1,No,1,Fiber optic,2,No,1,No,1,No,1,Yes,2,No,1,No,1,Month-to-month,0,No,0,Electronic check,1,0,0,74.7,74.70,No,0
7233-PAHHL,Male,1,0,Yes,1,Yes,1,66,Yes,1,Yes,2,DSL,1,Yes,2,No,1,Yes,2,Yes,2,Yes,2,Yes,2,Two year,2,Yes,1,Mailed check,0,1,0,84,5714.25,No,0
6067-NGCEU,Female,0,0,No,0,No,0,65,Yes,1,Yes,2,Fiber optic,2,Yes,2,Yes,2,Yes,2,No,1,Yes,2,Yes,2,Month-to-month,0,Yes,1,Credit card (automatic),0,0,1,111.05,7107.00,No,0
9848-JQJTX,Male,1,0,No,0,No,0,72,Yes,1,Yes,2,Fiber optic,2,No,1,Yes,2,Yes,2,No,1,Yes,2,Yes,2,Two year,2,Yes,1,Bank transfer (automatic),0,0,0,100.9,7459.05,No,0
8637-XJIVR,Female,0,0,No,0,No,0,12,Yes,1,Yes,2,Fiber optic,2,Yes,2,No,1,No,1,No,1,No,1,No,1,Month-to-month,0,Yes,1,Electronic check,1,0,0,78.95,927.35,Yes,1
9803-FTJCG,Male,1,0,Yes,1,Yes,1,71,Yes,1,Yes,2,DSL,1,Yes,2,Yes,2,No,1,Yes,2,No,1,No,1,One year,1,Yes,1,Credit card (automatic),0,0,1,66.85,4748.70,No,0
0278-YXOOG,Male,1,0,No,0,No,0,5,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,Month-to-month,0,No,0,Mailed check,0,1,0,21.05,113.85,Yes,1
3212-KXOCR,Male,1,0,No,0,No,0,52,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,Two year,2,No,0,Bank transfer (automatic),0,0,0,21,1107.20,No,0
4598-XLKNJ,Female,0,1,Yes,1,No,0,25,Yes,1,No,1,Fiber optic,2,No,1,Yes,2,Yes,2,No,1,Yes,2,Yes,2,Month-to-month,0,Yes,1,Electronic check,1,0,0,98.5,2514.50,Yes,1
6380-ARCEH,Male,1,0,No,0,No,0,1,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,Month-to-month,0,No,0,Mailed check,0,1,0,20.2,20.20,No,0
3679-XASPY,Female,0,0,Yes,1,Yes,1,1,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,Month-to-month,0,No,0,Electronic check,1,0,0,19.45,19.45,No,0
7123-WQUHX,Male,1,0,No,0,No,0,38,Yes,1,Yes,2,Fiber optic,2,No,1,No,1,Yes,2,Yes,2,Yes,2,No,1,One year,1,No,0,Bank transfer (automatic),0,0,0,95,3605.60,No,0
5386-THSLQ,Female,0,1,Yes,1,No,0,66,No,0,No phone service,0,DSL,1,No,1,Yes,2,Yes,2,No,1,Yes,2,No,1,One year,1,No,0,Bank transfer (automatic),0,0,0,45.55,3027.25,No,0
3192-NQECA,Male,1,0,Yes,1,No,0,68,Yes,1,Yes,2,Fiber optic,2,No,1,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Two year,2,Yes,1,Bank transfer (automatic),0,0,0,110,7611.85,Yes,1
6180-YBIQI,Male,1,0,No,0,No,0,5,No,0,No phone service,0,DSL,1,No,1,No,1,No,1,No,1,No,1,No,1,Month-to-month,0,No,0,Mailed check,0,1,0,24.3,100.20,No,0
6728-DKUCO,Female,0,0,Yes,1,Yes,1,72,Yes,1,Yes,2,Fiber optic,2,Yes,2,Yes,2,No,1,No,1,Yes,2,Yes,2,One year,1,Yes,1,Electronic check,1,0,0,104.15,7303.05,No,0
9750-BOOHV,Female,0,0,No,0,No,0,32,No,0,No phone service,0,DSL,1,Yes,2,No,1,No,1,No,1,No,1,No,1,One year,1,No,0,Mailed check,0,1,0,30.15,927.65,No,0
8597-CWYHH,Male,1,0,No,0,No,0,43,Yes,1,Yes,2,Fiber optic,2,No,1,No,1,No,1,No,1,Yes,2,Yes,2,One year,1,No,0,Mailed check,0,1,0,94.35,3921.30,No,0
2848-YXSMW,Male,1,0,Yes,1,Yes,1,72,Yes,1,No,1,No,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,No internet service,0,Two year,2,No,0,Credit card (automatic),0,0,1,19.4,1363.25,No,0
0486-HECZI,Male,1,0,Yes,1,No,0,55,Yes,1,Yes,2,Fiber optic,2,Yes,2,Yes,2,No,1,No,1,Yes,2,No,1,Month-to-month,0,Yes,1,Electronic check,1,0,0,96.75,5238.90,Yes,1
4549-ZDQYY,Female,0,0,No,0,No,0,52,Yes,1,No,1,DSL,1,Yes,2,No,1,Yes,2,Yes,2,No,1,No,1,One year,1,No,0,Credit card (automatic),0,0,1,57.95,3042.25,No,0
5712-AHQNN,Female,0,0,No,0,No,0,43,Yes,1,No,1,Fiber optic,2,No,1,Yes,2,Yes,2,No,1,Yes,2,No,1,Month-to-month,0,Yes,1,Electronic check,1,0,0,91.65,3954.10,No,0
4846-WHAFZ,Female,0,1,Yes,1,No,0,37,Yes,1,Yes,2,Fiber optic,2,No,1,No,1,No,1,No,1,No,1,No,1,Month-to-month,0,Yes,1,Electronic check,1,0,0,76.5,2868.15,Yes,1
